customer_id,gender,age,tenure,contract_type,internet_service,phone_service,monthly_charges,total_charges,payment_method,paperless_billing,customer_support_calls,number_of_services,has_streaming,has_online_security,churn,avg_spend_per_month,churn_prediction,churn_probability
2,Female,26,56,Yearly,Fiber,Yes,21.59,5655.89,Card,Yes,2,1,No,No,No,100.99803571428572,False,0.07265330356949776
5,Male,30,9,Monthly,Fiber,Yes,86.67,6005.41,Card,Yes,4,4,No,No,Yes,667.2677777777777,True,0.8236838498651047
9,Male,30,9,2-Year,Fiber,Yes,22.38,2581.88,UPI,No,5,5,Yes,Yes,No,286.8755555555556,False,0.13548746945374954
10,Female,63,40,Monthly,DSL,Yes,54.86,7667.97,Bank Transfer,Yes,4,1,No,Yes,No,191.69925,True,0.5214050611493797
11,Male,52,25,Yearly,DSL,Yes,107.5,364.05,Bank Transfer,Yes,4,1,Yes,Yes,No,14.562000000000001,False,0.1796070126608564
12,Male,23,5,Monthly,Fiber,Yes,15.19,4680.36,Bank Transfer,Yes,9,4,Yes,Yes,Yes,936.0719999999999,False,0.4289775098788412
13,Male,35,11,Monthly,DSL,Yes,115.76,1415.38,UPI,Yes,1,5,No,Yes,Yes,128.6709090909091,True,0.854645500277316
15,Female,22,38,Yearly,DSL,Yes,79.45,1489.53,Card,Yes,7,1,Yes,Yes,No,39.198157894736845,False,0.12522903743142558
17,Female,42,48,Monthly,DSL,Yes,37.37,4005.53,Card,No,0,3,No,No,Yes,83.44854166666667,True,0.5781671900792925
18,Female,19,18,Yearly,Fiber,Yes,113.63,7327.2,Card,Yes,1,1,No,Yes,No,407.06666666666666,False,0.4188438192170363
19,Female,27,70,Monthly,DSL,Yes,42.81,1772.54,Card,Yes,4,4,No,No,Yes,25.322,False,0.4767386961266834
20,Male,47,37,Monthly,DSL,Yes,95.31,1239.5,UPI,Yes,8,3,No,No,No,33.5,True,0.6264131117273198
21,Female,67,60,2-Year,DSL,Yes,53.24,6095.92,UPI,Yes,9,5,No,Yes,No,101.59866666666667,False,0.08725468332701491
22,Male,62,48,Monthly,Fiber,No,25.32,4054.89,Bank Transfer,Yes,6,2,No,Yes,No,84.47687499999999,False,0.2696479780718619
23,Female,22,28,Yearly,DSL,Yes,11.18,7303.1,Bank Transfer,Yes,9,1,Yes,No,No,260.825,False,0.06167460106836693
24,Female,50,69,Yearly,Fiber,Yes,69.87,1258.26,Bank Transfer,Yes,4,3,Yes,Yes,No,18.235652173913042,False,0.0817275652102345
26,Female,35,45,Monthly,DSL,Yes,50.6,1939.75,UPI,No,5,1,Yes,Yes,Yes,43.105555555555554,False,0.47063920354570093
27,Female,49,62,2-Year,Fiber,Yes,49.29,1338.41,UPI,Yes,7,5,No,No,No,21.58725806451613,False,0.13746222280497009
28,Female,64,58,Monthly,Fiber,Yes,47.85,5499.09,UPI,Yes,6,5,Yes,Yes,No,94.81189655172415,False,0.41282293621445965
29,Female,66,67,Yearly,DSL,Yes,67.26,4790.11,Card,Yes,1,4,No,Yes,No,71.49417910447761,False,0.08489710803074675
31,Male,38,40,Monthly,Fiber,Yes,106.79,2544.75,Bank Transfer,Yes,3,4,No,No,Yes,63.61875,True,0.7861159416499398
